column_name,dtype,unit,min,max,mean,std,n_unique,missing_count,inf_count,is_constant,is_near_constant,duplicate_of,conversion_relation,selected_for_baseline,role,exclusion_reason
/environment[0]/aircraft-effects[0]/fog-level[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/environment[0]/aircraft-effects[0]/frost-level[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/ground[0]/nose-gear-ground-effect-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/ground[0]/left-gear-ground-effect-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/ground[0]/right-gear-ground-effect-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/ground[0]/left-wing-ground-effect-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/ground[0]/right-wing-ground-effect-speed-kt-actual[0],float64,,0.0,43.17881393432617,0.0006471559432852959,0.16218521600344527,3,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/ground[0]/tail-ground-effect-speed-kt-actual[0],float64,,0.0,19.165945053100582,0.011159879078419645,0.36770243051216184,406,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/ground[0]/nose-tyre-smoke-ground-effect-speed-kt-actual[0],float64,,0.0,1.0,0.0004558140278766263,0.021345020609968318,2,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/ground[0]/left-tyre-smoke-ground-effect-speed-kt-actual[0],float64,,0.0,1.0,3.9983686655844414e-05,0.006323164373120106,2,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/ground[0]/right-tyre-smoke-ground-effect-speed-kt-actual[0],float64,,0.0,1.0,3.9983686655844414e-05,0.00632316437312979,2,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/hydro[0]/left-ground-effect-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/hydro[0]/right-ground-effect-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/hydro[0]/spray-wake-speed-kt-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/position[0]/altitude-agl-m[0],float64,m,0.9365889430046082,396.3262634277344,117.3572614837056,100.06495088978377,123582,0,0,False,False,/position[0]/altitude-agl-ft[0],agl_m = agl_ft * 0.3048,False,excluded,duplicate_unit_or_exact
/systems[0]/vacuum[0]/suction-inhg[0],float64,,-109901.5859375,5.036794662475586,-27.480493956639837,1723.713183307997,119361,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/systems[0]/static[0]/pressure-inhg[0],float64,,28.61235809326172,29.83301544189453,29.43596295055489,0.30713383856030885,101829,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/systems[0]/pitot[0]/measured-total-pressure-inhg[0],float64,,28.84534072875977,30.148183822631836,29.63786229081876,0.2662141629335097,108812,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/systems[0]/electrical[0]/battery-charge-percent[0],float64,,0.2648368775844574,0.33484947681427,0.29324067065110276,0.015871991307713818,121271,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/fdm[0]/jsbsim[0]/velocities[0]/vias-kts[0],float64,,0.0,99.28889465332033,60.77838881092054,20.54319509408537,121269,0,0,False,False,,,False,qa_only,
/instrumentation[0]/attitude-indicator[0]/spin[0],float64,,0.0,1.0,0.9689589107173909,0.1296325253745185,22347,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/instrumentation[0]/attitude-indicator[0]/horizon-offset-deg[0],float64,deg,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/instrumentation[0]/heading-indicator[0]/spin[0],float64,,0.0,1.0,0.9756990952577096,0.12568061443805642,8672,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/instrumentation[0]/heading-indicator[0]/offset-deg[0],float64,deg,-125.50994873046876,10.76057243347168,8.959479647730303,9.332002534547394,24882,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/autopilot[0]/settings[0]/heading-bug-deg[0],float64,deg,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/instrumentation[0]/magnetic-compass[0]/indicated-heading-deg[0],float64,deg,0.0005043952260166,359.9996643066406,121.11571702141208,145.06189010549917,124536,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/instrumentation[0]/altimeter[0]/setting-inhg[0],float64,,29.91665267944336,29.969640731811523,29.94349480101087,0.02649184512321213,4,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/instrumentation[0]/nav[0]/radials[0]/selected-deg[0],float64,deg,284.0,284.0,284.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/instrumentation[0]/nav[1]/radials[0]/selected-deg[0],float64,deg,326.0,326.0,326.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
